AccountID,AC_Username,AC_Password,AC_Firstname,AC_Lastname,AC_Sex,AC_DateOfBirth,AC_Email,AC_DateCreateAcc,AC_Status
AC00000001,AC00000001,B1DE6A680C2BF22FBDBAF2DD60340843F9F4F6845167A2EA040F8B3EBADE4026,Huy,Lê,M,2000-07-14,AC00000001@example.com,2023-07-04,Normal
AC00000002,AC00000002,9CDD7883C6B79D72EE6EC78AA899A7A03E05DCB1CA9DABF90942988C53218137,Hưng,Mai,M,1998-10-18,AC00000002@example.com,2024-09-09,Normal
AC00000003,AC00000003,F7373B3C2123DCE9951FCCE4D11E0F441CEE2C490160B93E3C77C7EDAB7C2E67,Khôi,Tô,M,2004-05-18,AC00000003@example.com,2023-07-20,Normal
AC00000004,AC00000004,2AEFF89F54C9927C49FEB4F38FC8BBD8C3CE1FF0C48C40D66C142F391434CFCF,Bình,Mai,M,1992-07-03,AC00000004@example.com,2021-08-11,Normal
AC00000005,AC00000005,584F7A541EC91A08F499823FFF3D9297A506903A532172FE2174C10A0C8C3813,An,Mai,F,1995-08-16,AC00000005@example.com,2021-02-24,Normal
AC00000006,AC00000006,9CC5E9C040C411B30D893971FDB1E6C3F102A55820C1854622227B1CCB5654F7,Long,Lê,M,1993-12-07,AC00000006@example.com,2022-02-15,Normal
AC00000007,AC00000007,D20C1438EC05DA71A7EBA913FDCDF3A8AA1EC76BE3729F544F3DAC8017983518,Lan,Ngô,F,1988-08-05,AC00000007@example.com,2021-05-27,Normal
AC00000008,AC00000008,9EAE2A863A0BB946C7DF0CC26AC3AEC8DBF5629B9A23E9DD3504EBBB7E6BEC14,Long,Lê,M,1987-08-02,AC00000008@example.com,2024-01-12,Normal
AC00000009,AC00000009,C14E71A3CA3CF601BD55989E43EE2A57DCAC05E95358291C0A232D5A255159D8,Hưng,Lê,M,1983-01-02,AC00000009@example.com,2021-10-14,Normal
AC00000010,AC00000010,FF11836CAFD63E168FC6C9B94D47E58B5C8D7EBAD329BE9A2BAA5883E7936385,Khôi,Mai,M,1997-05-07,AC00000010@example.com,2023-08-14,Normal
AC00000011,AC00000011,878809CFBA2EAEA899019A485BE4C3279279E409A4BE2FA2524474514896E0F3,Long,Lê,M,1981-07-02,AC00000011@example.com,2022-07-02,Normal
AC00000012,AC00000012,9576D66C76F4886C9A331756419662B3E8B7D8AC9FC2C247C31482B09F5D2349,Hưng,Ngô,M,1992-04-24,AC00000012@example.com,2022-09-10,Normal
AC00000013,AC00000013,BF3D02F7D037D580B9006CAD52AF9BCC7DC13F5659BFAA8328FB8D6955AE3433,Long,Trần,M,1982-03-16,AC00000013@example.com,2024-02-02,Normal
AC00000014,AC00000014,7979C5292172E243C16CB609C3B0C2D09B8DBE98DF82F23A42AF45C39B1F2205,Phúc,Nguyễn,M,1997-06-12,AC00000014@example.com,2021-08-10,Normal
