AccountID,ACC_Username,ACC_Password,ACC_Firstname,ACC_Lastname,ACC_Sex,ACC_DateOfBirth,ACC_Email,ACC_DateCreateAcc
AC00000001,AC00000001,AC00000001,Huy,Nguyễn,M,2004-06-23,AC00000001@example.com,2024-10-01
AC00000002,AC00000002,AC00000002,Anh,Nguyễn,F,1988-05-28,AC00000002@example.com,2024-06-18
AC00000003,AC00000003,AC00000003,Hương,Trần,F,2000-05-16,AC00000003@example.com,2022-11-26
AC00000004,AC00000004,AC00000004,Bình,Tô,M,1999-11-12,AC00000004@example.com,2021-11-26
AC00000005,AC00000005,AC00000005,Phúc,Lê,M,1992-07-23,AC00000005@example.com,2023-07-01
AC00000006,AC00000006,AC00000006,Lan,Tô,F,1987-02-15,AC00000006@example.com,2022-04-18
AC00000007,AC00000007,AC00000007,Khôi,Lý,M,1986-09-03,AC00000007@example.com,2022-03-18
AC00000008,AC00000008,AC00000008,Phúc,Trần,M,2004-08-26,AC00000008@example.com,2024-11-20
AC00000009,AC00000009,AC00000009,Anh,Tô,F,1982-04-06,AC00000009@example.com,2022-05-02
AC00000010,AC00000010,AC00000010,Huy,Lý,M,1984-03-18,AC00000010@example.com,2022-04-03
AC00000011,AC00000011,AC00000011,Bình,Ngô,M,1992-03-07,AC00000011@example.com,2021-11-12
AC00000012,AC00000012,AC00000012,Long,Tô,M,1997-03-04,AC00000012@example.com,2022-06-21
AC00000013,AC00000013,AC00000013,Hương,Tô,F,2003-06-15,AC00000013@example.com,2024-09-15
AC00000014,AC00000014,AC00000014,Huy,Nguyễn,M,2004-06-29,AC00000014@example.com,2022-03-28
AC00000015,AC00000015,AC00000015,Khải,Lê,M,1985-06-10,AC00000015@example.com,2024-12-19
AC00000016,AC00000016,AC00000016,Long,Lê,M,1995-08-20,AC00000016@example.com,2021-04-09
AC00000017,AC00000017,AC00000017,Lan,Trần,F,1994-12-27,AC00000017@example.com,2023-02-12
AC00000018,AC00000018,AC00000018,Bình,Trần,M,2000-04-13,AC00000018@example.com,2024-02-05
AC00000019,AC00000019,AC00000019,An,Lê,F,1987-04-27,AC00000019@example.com,2022-12-12
AC00000020,AC00000020,AC00000020,Khải,Lý,M,1997-04-23,AC00000020@example.com,2023-10-25
AC00000021,AC00000021,AC00000021,Lan,Trần,F,1991-04-20,AC00000021@example.com,2024-01-24
AC00000022,AC00000022,AC00000022,An,Tô,F,1993-09-21,AC00000022@example.com,2023-02-14
AC00000023,AC00000023,AC00000023,Bình,Nguyễn,M,1994-04-09,AC00000023@example.com,2023-10-29
AC00000024,AC00000024,AC00000024,Hương,Tô,F,1987-07-23,AC00000024@example.com,2022-06-24
AC00000025,AC00000025,AC00000025,Khôi,Nguyễn,M,2000-09-11,AC00000025@example.com,2022-09-30
AC00000026,AC00000026,AC00000026,Phúc,Trần,M,1982-12-03,AC00000026@example.com,2023-01-16
AC00000027,AC00000027,AC00000027,Khải,Mai,M,1991-04-23,AC00000027@example.com,2024-08-08
AC00000028,AC00000028,AC00000028,Khải,Ngô,M,1991-12-10,AC00000028@example.com,2024-07-02
AC00000029,AC00000029,AC00000029,Lan,Trần,F,2000-01-05,AC00000029@example.com,2024-07-20
AC00000030,AC00000030,AC00000030,Phúc,Tô,M,1996-11-25,AC00000030@example.com,2024-08-07
AC00000031,AC00000031,AC00000031,Lan,Nguyễn,F,2003-11-13,AC00000031@example.com,2021-12-27
AC00000032,AC00000032,AC00000032,Minh,Mai,F,1982-02-10,AC00000032@example.com,2024-05-23
AC00000033,AC00000033,AC00000033,Minh,Tô,F,1990-04-19,AC00000033@example.com,2024-02-26
AC00000034,AC00000034,AC00000034,Huy,Mai,M,1988-08-05,AC00000034@example.com,2023-01-22
AC00000035,AC00000035,AC00000035,Khôi,Lê,M,1989-06-13,AC00000035@example.com,2023-01-04
AC00000036,AC00000036,AC00000036,Bình,Lê,M,1992-07-18,AC00000036@example.com,2021-02-12
AC00000037,AC00000037,AC00000037,An,Nguyễn,F,1980-08-18,AC00000037@example.com,2021-07-25
AC00000038,AC00000038,AC00000038,Hưng,Tô,M,1989-02-20,AC00000038@example.com,2021-04-28
AC00000039,AC00000039,AC00000039,Long,Nguyễn,M,1980-04-14,AC00000039@example.com,2022-12-03
AC00000040,AC00000040,AC00000040,Bình,Nguyễn,M,1995-08-29,AC00000040@example.com,2023-07-21
AC00000041,AC00000041,AC00000041,Anh,Trần,F,1988-04-01,AC00000041@example.com,2022-04-06
AC00000042,AC00000042,AC00000042,Khải,Nguyễn,M,2003-07-23,AC00000042@example.com,2024-10-28
AC00000043,AC00000043,AC00000043,Huy,Lê,M,1986-03-21,AC00000043@example.com,2022-11-19
AC00000044,AC00000044,AC00000044,Long,Lý,M,1999-01-24,AC00000044@example.com,2024-01-09
AC00000045,AC00000045,AC00000045,Hưng,Lê,M,2002-02-25,AC00000045@example.com,2021-09-03
AC00000046,AC00000046,AC00000046,Khôi,Lê,M,2003-01-16,AC00000046@example.com,2024-06-03
AC00000047,AC00000047,AC00000047,Bình,Trần,M,1988-10-30,AC00000047@example.com,2022-04-28
AC00000048,AC00000048,AC00000048,Minh,Trần,F,1994-02-08,AC00000048@example.com,2024-07-18
AC00000049,AC00000049,AC00000049,Khải,Lý,M,1984-09-08,AC00000049@example.com,2023-05-23
AC00000050,AC00000050,AC00000050,Lan,Nguyễn,F,1984-08-12,AC00000050@example.com,2023-11-07
AC00000051,AC00000051,AC00000051,Lan,Trần,F,1998-10-12,AC00000051@example.com,2021-06-12
AC00000052,AC00000052,AC00000052,Phúc,Ngô,M,2003-12-31,AC00000052@example.com,2023-12-16
AC00000053,AC00000053,AC00000053,Lan,Ngô,F,1993-02-15,AC00000053@example.com,2022-01-20
AC00000054,AC00000054,AC00000054,Bình,Mai,M,1986-04-21,AC00000054@example.com,2021-06-14
AC00000055,AC00000055,AC00000055,Lan,Lý,F,1994-09-13,AC00000055@example.com,2022-12-08
AC00000056,AC00000056,AC00000056,Lan,Ngô,F,1980-08-17,AC00000056@example.com,2022-11-10
AC00000057,AC00000057,AC00000057,Hương,Ngô,F,1987-01-22,AC00000057@example.com,2021-12-22
AC00000058,AC00000058,AC00000058,Khải,Nguyễn,M,1982-12-21,AC00000058@example.com,2024-12-02
AC00000059,AC00000059,AC00000059,Bình,Ngô,M,2002-02-18,AC00000059@example.com,2024-08-01
AC00000060,AC00000060,AC00000060,Hương,Mai,F,1982-08-15,AC00000060@example.com,2022-05-21
AC00000061,AC00000061,AC00000061,Hưng,Nguyễn,M,1988-11-28,AC00000061@example.com,2023-11-29
AC00000062,AC00000062,AC00000062,Long,Tô,M,1999-11-08,AC00000062@example.com,2022-05-21
AC00000063,AC00000063,AC00000063,Anh,Nguyễn,F,1991-08-19,AC00000063@example.com,2024-03-28
AC00000064,AC00000064,AC00000064,Khôi,Ngô,M,1986-07-17,AC00000064@example.com,2021-02-26
AC00000065,AC00000065,AC00000065,Huy,Tô,M,2002-01-16,AC00000065@example.com,2022-05-01
AC00000066,AC00000066,AC00000066,An,Ngô,F,1993-11-03,AC00000066@example.com,2022-04-09
AC00000067,AC00000067,AC00000067,Khôi,Mai,M,2004-01-21,AC00000067@example.com,2024-06-04
AC00000068,AC00000068,AC00000068,Phúc,Lê,M,1999-05-16,AC00000068@example.com,2023-12-27
AC00000069,AC00000069,AC00000069,Anh,Trần,F,1994-04-24,AC00000069@example.com,2023-09-02
AC00000070,AC00000070,AC00000070,Khải,Mai,M,2001-02-13,AC00000070@example.com,2022-09-21
AC00000071,AC00000071,AC00000071,Bình,Lê,M,2003-01-22,AC00000071@example.com,2021-04-25
AC00000072,AC00000072,AC00000072,Huy,Lê,M,2000-08-29,AC00000072@example.com,2024-02-06
AC00000073,AC00000073,AC00000073,Khải,Trần,M,1995-03-15,AC00000073@example.com,2022-09-21
